"ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","MES_NASC","ANO_NASC","COMPUTADOR","ESC_MAE","ESC_PAI","USO_TEMPO_TELAS","AFAZERES_DOM","TRABALHO","PERSPECTIVAS"
"1957",2017,"Sudeste","SP",3550308,"Capital","Estadual","Urbana",228.201791,235.447467,"Feminino","Parda","Agosto","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"291",2017,"Sudeste","RJ",3304805,"Interior","Estadual","Urbana",200.074205,293.156519,"Masculino","Branca","Agosto","2002","Sim, um","Não sei","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1843",2017,"Nordeste","CE",2304400,"Capital","Estadual","Urbana",346.9887,282.572915,"Feminino","Branca","Fevereiro","2003","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"480",2017,"Norte","PA",1507409,"Interior","Municipal","Urbana",238.146198,234.206154,"Masculino","Branca","Novembro","2002","Sim, um","Não sei","Não sei","Menos de 1 hora","Entre 1 e 2 horas",NA,"Continuar estudando e trabalhar"
"1610",2017,"Sudeste","MG",3169901,"Interior","Estadual","Urbana",161.676665,134.724294,"Masculino","Parda","Setembro","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Menos de 1 hora","Não","Ainda não sei"
"111",2017,"Norte","AP",1600600,"Interior","Estadual","Urbana",192.790201,156.192034,"Masculino","Parda","Outubro","2001","Sim, um","Não sei","Não sei","Mais de 3 horas","Menos de 1 hora","Não","Ainda não sei"
"463",2017,"Nordeste","RN",2408102,"Capital","Estadual","Urbana",228.477147,211.736209,"Feminino","Parda","Novembro","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Menos de 1 hora","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"803",2017,"Nordeste","BA",2924306,"Interior","Municipal","Rural",216.950844,282.208833,"Masculino","Parda","Dezembro","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Nunca estudou","Menos de 1 hora","Entre 1 e 2 horas","Sim","Continuar estudando e trabalhar"
"1944",2017,"Norte","PA",1500800,"Interior","Estadual","Urbana",145.47233,194.616556,"Masculino","Parda","Novembro","2001","Não tem","Não sei","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Ainda não sei"
"998",2017,"Nordeste","MA",2109700,"Interior","Municipal","Urbana",191.27899,222.461834,"Masculino","Parda","Maio","2002","Não tem","Completou a Faculdade","Não sei","Mais de 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"1960",2017,"Nordeste","CE",2311603,"Interior","Municipal","Urbana",143.337572,204.844517,"Masculino","Amarela","Maio","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Nunca estudou","Mais de 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"204",2017,"Sudeste","SP",3520509,"Interior","Estadual","Urbana",185.838576,224.106354,"Masculino","Branca","Fevereiro","2002","Sim, um","Completou a Faculdade","Não sei","Menos de 1 hora","Mais de 3 horas","Não","Somente continuar estudando"
"1121",2017,"Sudeste","MG",3104700,"Interior","Estadual","Urbana",174.527137,171.986759,"Masculino","Parda","Agosto","1999","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Nunca estudou","Mais de 3 horas","Mais de 3 horas","Sim","Somente continuar estudando"
"333",2017,"Sul","SC",4200705,"Interior","Estadual","Urbana",318.856872,300.39547,"Feminino","Branca","Outubro","2002","Sim, um","Completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas","Mais de 3 horas","Não","Somente continuar estudando"
"20",2017,"Sudeste","SP",3547809,"Interior","Estadual","Urbana",245.557081,260.18569,"Masculino","Parda","Janeiro","2000","Não tem","Não sei","Não sei","Mais de 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"1059",2017,"Sul","SC",4214003,"Interior","Estadual","Urbana",200.467131,266.516223,"Masculino","Não quero declarar","Dezembro","2001","Sim, dois","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Entre 1 e 2 horas","Sim","Continuar estudando e trabalhar"
"406",2017,"Nordeste","CE",2312205,"Interior","Municipal","Urbana",237.726441,252.254234,"Masculino","Não quero declarar","Setembro","2002","Sim, um","Não sei","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1087",2017,"Nordeste","PI",2211100,"Interior","Estadual","Urbana",176.59402,250.391846,"Masculino","Indígena","Março","2003","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Somente continuar estudando"
"1385",2017,"Sul","PR",4120507,"Interior","Estadual","Urbana",151.70113,197.379649,NA,"Não quero declarar","Janeiro","2002","Não tem","Não sei","Nunca estudou","Menos de 1 hora","Não faço trabalhos domésticos","Não","Ainda não sei"
"377",2017,"Sudeste","RJ",3304557,"Capital","Municipal","Urbana",234.946981,271.689785,"Feminino","Preta","Dezembro","2002","Sim, um","Não sei","Não sei","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"334",2017,"Sudeste","SP",3538907,"Interior","Estadual","Urbana",284.959634,296.376923,"Masculino","Não quero declarar","Maio","2003","Não tem","Nunca estudou","Nunca estudou","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"321",2017,"Norte","AM",1301100,"Interior","Municipal","Rural",228.346906,222.579544,"Feminino","Parda","Outubro","2002","Não tem","Não sei","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Somente continuar estudando"
"275",2017,"Sudeste","MG",3106200,"Capital","Municipal","Urbana",331.104402,338.818539,"Masculino","Parda","Julho","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
